artist_id,common_name,wiki_url,language_count
544,Bonnie Dobson,https://en.wikipedia.org/wiki/Bonnie_Dobson,8.0
545,Pennywise,https://en.wikipedia.org/wiki/Pennywise_(band),26.0
548,Third World,,
551,5ive,https://en.wikipedia.org/wiki/Five_(group),27.0
552,Ohio Players,,
553,The Delfonics,https://en.wikipedia.org/wiki/The_Delfonics,13.0
554,Rick James,,
555,MC Hammer,,
556,Janet Jackson,https://en.wikipedia.org/wiki/Janet_Jackson,84.0
557,HIM,https://en.wikipedia.org/wiki/HIM_(Finnish_band),56.0
559,Nancy Sinatra,https://en.wikipedia.org/wiki/Nancy_Sinatra,49.0
560,Pink Floyd,,
561,Shakira,,
562,Herbie Mann,,
563,Barrabás,,
565,The Beatnuts,https://en.wikipedia.org/wiki/The_Beatnuts,8.0
566,Jennifer Lopez,https://en.wikipedia.org/wiki/Jennifer_Lopez,116.0
567,Idris Muhammad,,
568,Alphonse Mouzon,https://en.wikipedia.org/wiki/Alphonse_Mouzon,10.0
570,Harvey Scales,,
573,James Brown,,
577,Ronnie Laws,https://en.wikipedia.org/wiki/Ronnie_Laws,5.0
579,Foxy,,
580,Davy DMX,,
584,Nine Inch Nails,https://en.wikipedia.org/wiki/Nine_Inch_Nails,66.0
585,Johnny Rivers,https://en.wikipedia.org/wiki/Johnny_Rivers,17.0
586,Jean Knight,,
587,Kurtis Blow,,
588,Paul McCartney,,
589,David Bromberg,,
590,Dorsey Burnette,,
591,Roy Clark,,
592,Donny Hathaway,,
593,Lightnin' Rod,,
594,Kool & The Gang,https://en.wikipedia.org/wiki/Kool_&_the_Gang,40.0
596,Public Enemy,https://en.wikipedia.org/wiki/Public_Enemy,51.0
597,Funkadelic,https://en.wikipedia.org/wiki/Funkadelic,20.0
598,Sly & The Family Stone,,
599,Tower of Power,,
600,Jeff Buckley,https://en.wikipedia.org/wiki/Jeff_Buckley,43.0
601,Eagles,https://en.wikipedia.org/wiki/Eagles_(band),74.0
602,The Fatback Band,,
604,Ramones,,
606,Molly Johnson,,
607,Evie Sands,,
608,Boogie Down Productions,,
610,Pato Banton,https://en.wikipedia.org/wiki/Pato_Banton,6.0
611,Shaggy,,
612,Joya Landis,,
613,Tori Amos,https://en.wikipedia.org/wiki/Tori_Amos,53.0
614,The Boomtown Rats,https://en.wikipedia.org/wiki/The_Boomtown_Rats,20.0
615,Anita Ward,,
616,Depeche Mode,https://en.wikipedia.org/wiki/Christian_Eigner,10.0
616,Depeche Mode,https://en.wikipedia.org/wiki/Depeche_Mode,73.0
618,Tom Waits,https://en.wikipedia.org/wiki/Tom_Waits,53.0
619,Neil Young,https://en.wikipedia.org/wiki/Neil_Young,64.0
620,Slayer,,
621,Joe Jackson,https://en.wikipedia.org/wiki/Joe_Jackson_(musician),21.0
623,Robin Thicke,,
624,2227,,
625,"10,000 Maniacs",,
626,Drugstore,,
627,Tindersticks,,
628,Pete Shelley,https://en.wikipedia.org/wiki/Pete_Shelley,16.0
629,Cameo,https://en.wikipedia.org/wiki/Cameo_(band),13.0
630,P-Funk All Stars,,
631,World's Famous Supreme Team,,
632,Fab 5 Freddy,,
633,Beside,,
634,The Sweet,https://en.wikipedia.org/wiki/The_Sweet,30.0
635,The Wedding Present,,
636,Violent Femmes,,
637,Red Sovine,,
638,Archers of Loaf,,
639,These Immortal Souls,,
640,Jeffrey Lee Pierce,,
641,Magnapop,,
642,Dave Alvin,,
643,Pale Saints,,
644,Tim Buckley,https://en.wikipedia.org/wiki/Tim_Buckley,23.0
645,Eric Weissberg,,
647,The Incredible Bongo Band,,
648,Ocean,,
649,Mountain,,
650,Funk Factory,,
652,Faces,,
653,Gene Harris,,
654,Rose Royce,,
655,Black Oak Arkansas,,
656,Ballin' Jack,,
657,Trouble Funk,,
659,Eric B.,,
660,Rakim,,
661,Cerrone,,
663,Malcolm McLaren,https://en.wikipedia.org/wiki/Malcolm_McLaren,27.0
664,Scotty,,
665,Johnny Cash,,
666,The Meters,,
667,The Crusaders,,
668,Chic,,
669,Eric Andersen,,
670,The Beat Farmers,,
671,Ernie K-Doe,,
672,Bim Skala Bim,,
673,Warren Zevon,https://en.wikipedia.org/wiki/Warren_Zevon,24.0
674,Keith Whitley,,
675,Ronan Keating,https://en.wikipedia.org/wiki/Ronan_Keating,42.0
676,Jackie DeShannon,https://en.wikipedia.org/wiki/Jackie_DeShannon,19.0
677,Kim Carnes,,
678,Gwyneth Paltrow,,
679,Allen Toussaint,https://en.wikipedia.org/wiki/Allen_Toussaint,22.0
680,Q Connection,,
681,Mr. Big,https://en.wikipedia.org/wiki/Mr._Big_(American_band),29.0
682,Wilson Pickett,https://en.wikipedia.org/wiki/Wilson_Pickett,35.0
683,Victoria Faiella,,
684,No Angels,https://en.wikipedia.org/wiki/No_Angels,31.0
686,Alcazar,https://en.wikipedia.org/wiki/Alcazar_(group),25.0
687,Billy Nicholls,,
688,Leo Sayer,,
689,Andy Fairweather Low,https://en.wikipedia.org/wiki/Andy_Fairweather_Low,16.0
691,Jackson Browne,https://en.wikipedia.org/wiki/Jackson_Browne,36.0
692,Roger Daltrey,https://en.wikipedia.org/wiki/Roger_Daltrey,45.0
693,The Supremes,,
