"artist_id","common_name","wiki_url","genres"
"498","Engelbert Humperdinck","https://en.wikipedia.org/wiki/Engelbert_Humperdinck_(singer)","Traditional pop|easy listening|schlager"
"499","Cleo Laine","https://en.wikipedia.org/wiki/Cleo_Laine","Jazz|pop"
"500","Sérgio Mendes","https://en.wikipedia.org/wiki/Sérgio_Mendes","Bossa nova|Latin|Latin jazz|jazz|disco|adult contemporary|soft rock"
"502","Das Pop","https://en.wikipedia.org/wiki/Das_Pop","Indie pop|pop rock"
"503","Warren G","https://en.wikipedia.org/wiki/Warren_G","West Coast hip-hop|gangsta rap|G-funk"
"507","Desireless","https://en.wikipedia.org/wiki/Desireless","Pop|synth-pop|Euro disco"
"509","Creedence Clearwater Revival","https://en.wikipedia.org/wiki/Creedence_Clearwater_Revival","Swamp rock|roots rock|blues rock|country rock|Southern rock"
"512","John Fogerty","https://en.wikipedia.org/wiki/John_Fogerty","Roots rock|[|1|]|[|2|]|rock and roll|[|3|]|country rock|[|2|]|[|4|]|heartland rock|[|2|]|blues rock|[|2|]|swamp rock|[|2|]|Americana|[|2|]|southern rock|[|5|]"
"514","John Hiatt","https://en.wikipedia.org/wiki/John_Hiatt","Heartland rock|blues rock|folk rock|country|Americana"
"515","Bryan Ferry","https://en.wikipedia.org/wiki/Bryan_Ferry","Pop rock|glam rock|art rock|sophisti-pop"
"517","Cat Stevens","https://en.wikipedia.org/wiki/Cat_Stevens","Folk|rock|pop|Islamic"
"518","Don Williams","https://en.wikipedia.org/wiki/Don_Williams","Country|Country Rock|Blues"
"519","Peggy Lee","https://en.wikipedia.org/wiki/Peggy_Lee","Jazz|pop|big band|swing|blues|Latin jazz"
"520","Jimmy Cliff","https://en.wikipedia.org/wiki/Jimmy_Cliff","Ska|rocksteady|reggae|soul"
"524","The Clash","https://en.wikipedia.org/wiki/The_Clash","Punk rock|new wave|post-punk|reggae|experimental rock"
"525","Liesbeth List","https://en.wikipedia.org/wiki/Liesbeth_List","Chanson|pop"
"526","Queens of the Stone Age","https://en.wikipedia.org/wiki/Queens_of_the_Stone_Age","Alternative rock|stoner rock|desert rock|hard rock|alternative metal"
"527","Oasis","https://en.wikipedia.org/wiki/Oasis_(band)","Rock|Britpop"
"533","Meat Puppets","https://en.wikipedia.org/wiki/Meat_Puppets","Alternative rock|cowpunk|psychedelia|alternative country|hardcore punk|post-punk"
"535","The Who","https://en.wikipedia.org/wiki/The_Who","Rock|hard rock|power pop|proto-punk"
"537","Devo","https://en.wikipedia.org/wiki/Devo","New wave|[|1|]|[|2|]|[|3|]|synth-pop|[|2|]|art punk|[|1|]|post-punk|[|3|]|art pop|[|4|]|electronic rock|[|5|]|geek rock|[|6|]|[|7|]|[|8|]"
